,Менеджер,Месяц,Коэффициент пролонгаций 1,Коэффициент пролонгаций 2
0,Васильев Артем Александрович,январь 2023,0.5216062323399993,0.0
1,Васильев Артем Александрович,февраль 2023,1.2115959105874199,0.1865460236611375
2,Васильев Артем Александрович,март 2023,0.5027533875081783,0.0
3,Васильев Артем Александрович,апрель 2023,0.465229359125242,0.11020341027468611
4,Васильев Артем Александрович,май 2023,0.4671222845984867,0.0
5,Васильев Артем Александрович,июнь 2023,0.0,0.0
6,Васильев Артем Александрович,июль 2023,0.45442364611390546,0.0
7,Васильев Артем Александрович,август 2023,0.47750385208012325,0.0
8,Васильев Артем Александрович,сентябрь 2023,0.1332475584707131,0.0
9,Васильев Артем Александрович,октябрь 2023,0.8867503799486758,0.07225635943178065
10,Васильев Артем Александрович,ноябрь 2023,0.6210006947226171,0.0
11,Васильев Артем Александрович,декабрь 2023,0.32406316285646947,0.48485855522784865
12,Михайлов Андрей Сергеевич,январь 2023,0.0,0.0
13,Михайлов Андрей Сергеевич,февраль 2023,1.0,0.0
14,Михайлов Андрей Сергеевич,март 2023,0.0,0.0
15,Михайлов Андрей Сергеевич,апрель 2023,0.0,0.0
16,Михайлов Андрей Сергеевич,май 2023,0.0,0.0
17,Михайлов Андрей Сергеевич,июнь 2023,0.0,0.0
18,Михайлов Андрей Сергеевич,июль 2023,1.1975246274311695,0.0
19,Михайлов Андрей Сергеевич,август 2023,0.0,0.0
20,Михайлов Андрей Сергеевич,сентябрь 2023,0.0,0.0
21,Михайлов Андрей Сергеевич,октябрь 2023,0.2649732870465564,0.0
22,Михайлов Андрей Сергеевич,ноябрь 2023,0.0,0.0
23,Михайлов Андрей Сергеевич,декабрь 2023,0.0,0.0
24,Соколова Анастасия Викторовна,январь 2023,0.38657759183643914,0.0
25,Соколова Анастасия Викторовна,февраль 2023,0.27689984424320674,0.11798517325932516
26,Соколова Анастасия Викторовна,март 2023,0.9209905941183474,0.0
27,Соколова Анастасия Викторовна,апрель 2023,1.0658346153749627,0.0
28,Соколова Анастасия Викторовна,май 2023,0.23740644184677487,0.0
29,Соколова Анастасия Викторовна,июнь 2023,0.7664224952741021,0.0
30,Соколова Анастасия Викторовна,июль 2023,0.6190880980363072,0.0
31,Соколова Анастасия Викторовна,август 2023,0.4562551946143451,0.0
32,Соколова Анастасия Викторовна,сентябрь 2023,0.29472005188897865,0.0
33,Соколова Анастасия Викторовна,октябрь 2023,0.8417982922377741,0.0
34,Соколова Анастасия Викторовна,ноябрь 2023,0.17862628922536758,0.0
35,Соколова Анастасия Викторовна,декабрь 2023,0.791061481597168,0.0
36,Иванова Мария Сергеевна,январь 2023,0.0,0.0
37,Иванова Мария Сергеевна,февраль 2023,0.0,0.0
38,Иванова Мария Сергеевна,март 2023,0.0,0.0
39,Иванова Мария Сергеевна,апрель 2023,0.23772236788051765,0.0
40,Иванова Мария Сергеевна,май 2023,1.0,0.0
41,Иванова Мария Сергеевна,июнь 2023,0.0,0.0
42,Иванова Мария Сергеевна,июль 2023,0.0,0.0
43,Иванова Мария Сергеевна,август 2023,0.38030979056784636,0.0
44,Иванова Мария Сергеевна,сентябрь 2023,1.0,0.0
45,Иванова Мария Сергеевна,октябрь 2023,0.0,0.0
46,Иванова Мария Сергеевна,ноябрь 2023,0.0,0.0
47,Иванова Мария Сергеевна,декабрь 2023,0.0,0.0
48,Попова Екатерина Николаевна,январь 2023,0.26625118547622273,0.0
49,Попова Екатерина Николаевна,февраль 2023,0.0,0.0
50,Попова Екатерина Николаевна,март 2023,0.5979804500184434,0.0
51,Попова Екатерина Николаевна,апрель 2023,0.14222152837405355,0.19090664514393327
52,Попова Екатерина Николаевна,май 2023,0.5934321367401867,0.0
53,Попова Екатерина Николаевна,июнь 2023,0.0,0.0
54,Попова Екатерина Николаевна,июль 2023,0.09605189297074783,0.5057859836172149
55,Попова Екатерина Николаевна,август 2023,0.3089528720813637,0.0
56,Попова Екатерина Николаевна,сентябрь 2023,0.4543825532738065,0.0
57,Попова Екатерина Николаевна,октябрь 2023,0.793626210254749,0.6217278782112274
58,Попова Екатерина Николаевна,ноябрь 2023,0.0,0.18983704707231353
59,Попова Екатерина Николаевна,декабрь 2023,0.0,0.18983704707231353
60,Смирнова Ольга Владимировна,январь 2023,0.0,0.18983704707231353
61,Смирнова Ольга Владимировна,февраль 2023,0.0,0.0
62,Смирнова Ольга Владимировна,март 2023,0.0,1.1505208333333334
63,Смирнова Ольга Владимировна,апрель 2023,0.0,1.1505208333333334
64,Смирнова Ольга Владимировна,май 2023,0.0,1.1505208333333334
65,Смирнова Ольга Владимировна,июнь 2023,0.0,1.1505208333333334
66,Смирнова Ольга Владимировна,июль 2023,0.0,0.5162791441753317
67,Смирнова Ольга Владимировна,август 2023,0.16728095549127556,1.5530651625352532
68,Смирнова Ольга Владимировна,сентябрь 2023,0.7654703803896091,0.0
69,Смирнова Ольга Владимировна,октябрь 2023,1.0384095928038195,0.0
70,Смирнова Ольга Владимировна,ноябрь 2023,0.8362370621385686,0.0
71,Смирнова Ольга Владимировна,декабрь 2023,0.36113697114525556,0.3984299785232911
72,Кузнецов Михаил Иванович,январь 2023,0.0,0.3984299785232911
73,Кузнецов Михаил Иванович,февраль 2023,0.0,0.3984299785232911
74,Кузнецов Михаил Иванович,март 2023,0.0,0.3984299785232911
75,Кузнецов Михаил Иванович,апрель 2023,0.0,0.3984299785232911
76,Кузнецов Михаил Иванович,май 2023,0.0,0.0
77,Кузнецов Михаил Иванович,июнь 2023,0.0,0.0
78,Кузнецов Михаил Иванович,июль 2023,0.0,0.0
79,Кузнецов Михаил Иванович,август 2023,0.0,0.0
80,Кузнецов Михаил Иванович,сентябрь 2023,0.0,0.0
81,Кузнецов Михаил Иванович,октябрь 2023,0.0,0.0
82,Кузнецов Михаил Иванович,ноябрь 2023,0.0,0.0
83,Кузнецов Михаил Иванович,декабрь 2023,0.2740116643550536,0.0
84,без А/М,январь 2023,0.0,0.0
85,без А/М,февраль 2023,0.0,0.0
86,без А/М,март 2023,0.0,0.0
87,без А/М,апрель 2023,0.0,0.0
88,без А/М,май 2023,0.0,0.0
89,без А/М,июнь 2023,0.0,0.0
90,без А/М,июль 2023,0.0,0.0
91,без А/М,август 2023,0.0,0.0
92,без А/М,сентябрь 2023,0.0,0.0
93,без А/М,октябрь 2023,0.0,0.0
94,без А/М,ноябрь 2023,0.0,0.0
95,без А/М,декабрь 2023,0.0,0.0
96,Петрова Анна Дмитриевна,январь 2023,0.0,0.0
97,Петрова Анна Дмитриевна,февраль 2023,0.0,0.0
98,Петрова Анна Дмитриевна,март 2023,0.0,0.0
99,Петрова Анна Дмитриевна,апрель 2023,0.0,0.0
100,Петрова Анна Дмитриевна,май 2023,0.0,0.0
101,Петрова Анна Дмитриевна,июнь 2023,0.0,0.0
102,Петрова Анна Дмитриевна,июль 2023,0.0,0.0
103,Петрова Анна Дмитриевна,август 2023,0.0,0.0
104,Петрова Анна Дмитриевна,сентябрь 2023,0.0,0.0
105,Петрова Анна Дмитриевна,октябрь 2023,0.0,0.0
106,Петрова Анна Дмитриевна,ноябрь 2023,0.0,0.0
107,Петрова Анна Дмитриевна,декабрь 2023,0.0,0.0
108,Федорова Марина Васильевна,январь 2023,0.0,0.0
109,Федорова Марина Васильевна,февраль 2023,0.0,0.0
110,Федорова Марина Васильевна,март 2023,0.0,0.0
111,Федорова Марина Васильевна,апрель 2023,0.0,0.0
112,Федорова Марина Васильевна,май 2023,0.0,0.0
113,Федорова Марина Васильевна,июнь 2023,0.0,0.0
114,Федорова Марина Васильевна,июль 2023,0.0,0.0
115,Федорова Марина Васильевна,август 2023,0.0,0.0
116,Федорова Марина Васильевна,сентябрь 2023,0.0,0.0
117,Федорова Марина Васильевна,октябрь 2023,0.0,0.0
118,Федорова Марина Васильевна,ноябрь 2023,0.0,0.0
119,Федорова Марина Васильевна,декабрь 2023,0.0,0.0
